epoch,train loss,reg loss,train acc,test loss,test acc
37,"tensor(0.1656, device='cuda:0')",0.0,tensor(94.2840),"tensor(0.4204, device='cuda:0')",tensor(87.5100)
37,"tensor(1.0159, device='cuda:0')",0.0,tensor(69.9389),"tensor(0.4825, device='cuda:0')",tensor(88.7400)
24,"tensor(0.8340, device='cuda:0')",0.0,tensor(72.3963),"tensor(0.4071, device='cuda:0')",tensor(87.7800)
38,"tensor(0.1639, device='cuda:0')",0.0,tensor(94.2300),"tensor(0.4152, device='cuda:0')",tensor(87.7600)
38,"tensor(1.0295, device='cuda:0')",0.0,tensor(68.7440),"tensor(0.4699, device='cuda:0')",tensor(89.8100)
25,"tensor(0.8424, device='cuda:0')",0.0,tensor(71.7248),"tensor(0.3861, device='cuda:0')",tensor(88.0400)
39,"tensor(0.1590, device='cuda:0')",0.0,tensor(94.3760),"tensor(0.3918, device='cuda:0')",tensor(88.4700)
39,"tensor(0.9982, device='cuda:0')",0.0,tensor(70.3860),"tensor(0.4568, device='cuda:0')",tensor(88.2000)
26,"tensor(0.8310, device='cuda:0')",0.0,tensor(72.5109),"tensor(0.4341, device='cuda:0')",tensor(87.6200)
40,"tensor(0.1549, device='cuda:0')",0.0,tensor(94.6760),"tensor(0.3495, device='cuda:0')",tensor(90.0300)
40,"tensor(1.0183, device='cuda:0')",0.0,tensor(69.5545),"tensor(0.4453, device='cuda:0')",tensor(88.4300)
27,"tensor(0.8265, device='cuda:0')",0.0,tensor(72.5717),"tensor(0.4506, device='cuda:0')",tensor(87.2700)
41,"tensor(0.1557, device='cuda:0')",0.0,tensor(94.5760),"tensor(0.4004, device='cuda:0')",tensor(87.7000)
41,"tensor(1.0308, device='cuda:0')",0.0,tensor(69.0326),"tensor(0.4356, device='cuda:0')",tensor(89.8100)
42,"tensor(0.1482, device='cuda:0')",0.0,tensor(94.8120),"tensor(0.3707, device='cuda:0')",tensor(88.8900)
28,"tensor(0.8225, device='cuda:0')",0.0,tensor(72.5441),"tensor(0.3895, device='cuda:0')",tensor(88.8800)
42,"tensor(0.9882, device='cuda:0')",0.0,tensor(70.7185),"tensor(0.3911, device='cuda:0')",tensor(90.3500)
43,"tensor(0.1465, device='cuda:0')",0.0,tensor(94.9320),"tensor(0.4076, device='cuda:0')",tensor(88.3200)
29,"tensor(0.8010, device='cuda:0')",0.0,tensor(73.7455),"tensor(0.4444, device='cuda:0')",tensor(87.0700)
43,"tensor(1.0175, device='cuda:0')",0.0,tensor(69.3369),"tensor(0.4266, device='cuda:0')",tensor(90.2200)
44,"tensor(0.1493, device='cuda:0')",0.0,tensor(94.8440),"tensor(0.3825, device='cuda:0')",tensor(88.6800)
30,"tensor(0.8085, device='cuda:0')",0.0,tensor(73.7940),"tensor(0.4316, device='cuda:0')",tensor(87.7700)
44,"tensor(1.0036, device='cuda:0')",0.0,tensor(69.9600),"tensor(0.4668, device='cuda:0')",tensor(88.9300)
45,"tensor(0.1361, device='cuda:0')",0.0,tensor(95.3340),"tensor(0.4472, device='cuda:0')",tensor(87.6300)
31,"tensor(0.8000, device='cuda:0')",0.0,tensor(73.3072),"tensor(0.3876, device='cuda:0')",tensor(89.1600)
46,"tensor(0.1441, device='cuda:0')",0.0,tensor(94.9120),"tensor(0.3878, device='cuda:0')",tensor(89.2200)
32,"tensor(0.7903, device='cuda:0')",0.0,tensor(74.0192),"tensor(0.3627, device='cuda:0')",tensor(89.1000)
47,"tensor(0.1384, device='cuda:0')",0.0,tensor(95.2040),"tensor(0.4318, device='cuda:0')",tensor(87.6000)
33,"tensor(0.8049, device='cuda:0')",0.0,tensor(73.3796),"tensor(0.4047, device='cuda:0')",tensor(88.6500)
48,"tensor(0.1350, device='cuda:0')",0.0,tensor(95.3080),"tensor(0.4242, device='cuda:0')",tensor(88.1100)
34,"tensor(0.7894, device='cuda:0')",0.0,tensor(73.9870),"tensor(0.3733, device='cuda:0')",tensor(89.3300)
